"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s"
"122290","SN 2022adpt","13:25:31.200","-14:21:32.29","SN Ia","0.0222","MCG-02-34-046","0.022645","ALeRCE, ATLAS, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ALeRCE; ATLAS; GaiaAlerts","ZTF22abzskpp","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.6298","r-ZTF","2022-12-20 12:33:03.001","ALeRCE","","2022TNSTR3628....1M","2022TNSCR3665....1N",""
"122045","SN 2022adgi","04:51:20.441","-28:19:01.61","SN Ia","0.103","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bnyy","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.816","orange-ATLAS","2022-12-13 04:43:14.016","ATLAS_Bot1","","2022TNSTR3617....1T","2022TNSCR3690....1G",""
"122044","SN 2022adgh","01:50:42.850","+08:02:50.94","SN Ia","0.073","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS22bnyu","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02","P60 - SEDM","1","1","","19.056","cyan-ATLAS","2022-12-15 07:44:07.584","ATLAS_Bot1","","2022TNSTR3617....1T","2022TNSCR3627....1F",""
"122038","SN 2022adgb","05:44:05.659","-29:39:44.79","SN Ia","0.103","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bnyl","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.813","orange-ATLAS","2022-12-16 05:16:43.680","ATLAS_Bot1","","2022TNSTR3617....1T","2022TNSCR3690....1G",""
"122029","SN 2022adfs","05:00:09.123","-04:11:50.63","SN Ia","0.088","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","LiONS","ATLAS; Pan-STARRS; ZTF","ZTF22abystdy","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","Lijiang-2.4m - YFOSC","1","1","","19.2392","g-ZTF","2022-12-17 06:02:19.968","ZTF_CLU_PUBLIC","","2022TNSTR3620....1D","2022TNSCR3632....1L",""
"122025","SN 2022adfo","13:21:36.070","+10:05:35.02","SN Ia","0.0403090008","","","ZTF, GaiaAlerts","ZTF, GaiaAlerts","ZTF","GaiaAlerts; ZTF","ZTF22abzkiql","Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.2084","g-ZTF","2022-12-19 11:42:19.872","ZTF_CLU_PUBLIC","","2022TNSTR3620....1D","2023TNSCR..34....1F",""
"121975","SN 2022addq","12:31:37.592","+09:30:44.93","SN Ia","0.162","SDSS J123137.59+093044.5","0.1475331","ALeRCE","ZTF","ePESSTO+","ALeRCE","ZTF22abzatea","P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.904","g-ZTF","2022-12-18 12:58:55.998","ALeRCE","","2022TNSTR3608....1F","2022TNSCR3647....1G",""
"121957","SN 2022adcy","02:56:36.377","-13:20:31.18","SN Ia","0.08","","","Pan-STARRS, ATLAS, Fink","Pan-STARRS, ATLAS, ZTF","ePESSTO+","ATLAS; Fink; Pan-STARRS","PS22msa","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","19.52","w-P1","2022-12-14 07:29:29.760","PS1_Bot1","","2022TNSTR3610....1C","2022TNSCR3641....1P",""
"121939","SN 2022adcg","10:13:44.603","-01:51:21.53","SN Ia","0.13","SDSS J101344.63-015120.7","","ALeRCE, ATLAS","ZTF, ATLAS","SCAT","ALeRCE; ATLAS","ZTF22abzadax","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","19.9749","g-ZTF","2022-12-17 11:38:29.003","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3684....1D",""
"121938","SN 2022adcf","10:24:52.293","+09:35:36.70","SN Ia","0.045951","SDSS J102452.54+093540.9","0.04595067","ALeRCE, ATLAS, Fink","ZTF, ATLAS","ZTF","ALeRCE; ATLAS; Fink","ZTF22abzadkd","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.9557","g-ZTF","2022-12-17 11:39:50.996","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3622....1F",""
"121935","SN 2022adcc","12:05:58.872","+38:05:28.80","SN Ia","0.06","SDSS J120559.29+380527.8","0.05271611","ALeRCE","ZTF","ZTF","ALeRCE","ZTF22abzaiuz","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.1454","r-ZTF","2022-12-17 12:20:20.003","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3648....1F",""
"121931","SN 2022adby","03:39:11.239","-18:21:52.17","SN Ia","0.0917","","","YSE, ATLAS","Pan-STARRS, ATLAS","UCSC","ATLAS; Pan-STARRS; YSE","PS22mrz","ATLAS-CHL - ATLAS-04, PS2 - GPC2","Lick-3m - KAST","1","1","","20.57","g-P1","2022-12-15 07:43:34.752","YSE_Bot1","","2022TNSTR3603....1J","2022TNSCR3633....1T",""
"121930","SN 2022adbx","11:22:33.600","+20:41:59.93","SN Ia","0.014571","SDSS J112235.39+204214.1","0.01457149","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abzaijw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.2757","r-ZTF","2022-12-17 12:12:19.999","ALeRCE","","2022TNSTR3598....1F","2022TNSCR3614....1S",""
"121921","SN 2022adbo","11:22:49.140","-24:54:30.27","SN Ia","0.09","","","ATLAS, ALeRCE","ATLAS, ZTF","SCAT","ALeRCE; ATLAS","ATLAS22bnvk","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","UH88 - SNIFS","1","1","","18.726","orange-ATLAS","2022-12-17 07:37:45.696","ATLAS_Bot1","","2022TNSTR3599....1T","2022TNSCR3678....1D",""
"121918","SN 2022adbl","07:57:29.246","+62:25:39.25","SN Ia","0.0386","","","Pan-STARRS","Pan-STARRS","ZTF","Pan-STARRS","PS22mrx","PS2 - GPC2","P60 - SEDM","1","1","","19.75","w-P1","2022-12-15 12:39:10.080","PS1_Bot1","","2022TNSTR3602....1C","2022TNSCR3634....1F",""
"121908","SN 2022adbb","09:43:59.166","+42:37:58.85","SN Ia","0.0184","","","ZTF, ATLAS","ZTF, ATLAS","UCSC","ATLAS; ZTF","ZTF22abyszwg","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","Lick-3m - KAST","1","1","","17.6933","g-ZTF","2022-12-17 10:46:28.416","ZTF_CLU_PUBLIC","","2022TNSTR3604....1D","2022TNSCR3633....1T",""
"121890","SN 2022adaj","00:21:54.524","-29:55:48.68","SN Ia","0.16","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bnva","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","19.296","cyan-ATLAS","2022-12-16 01:42:35.000","ATLAS_Bot1","","2022TNSTR3595....1T","2022TNSCR3690....1G",""
"121870","SN 2022aczp","12:47:48.860","-15:19:59.66","SN Ia","0.043","2MASX J12474857-1519568","0.04326","ALeRCE, ATLAS, GaiaAlerts, Pan-STARRS","ZTF, ATLAS, GaiaAlerts, Pan-STARRS","ZTF","ALeRCE; ATLAS; GaiaAlerts; Pan-STARRS","ZTF22abyuxeg","ATLAS-STH - ATLAS-03, Gaia - Gaia-photometric, P48 - ZTF-Cam, PS2 - GPC2","P60 - SEDM","1","1","","17.8187","r-ZTF","2022-12-15 12:03:10.996","ALeRCE","","2022TNSTR3584....1M","2022TNSCR3622....1F",""
"121865","SN 2022aczk","15:16:43.567","+14:50:35.00","SN Ia","0.036276001483202","SDSS J151643.82+145037.1","0.03622479","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abyvbfc","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.4816","r-ZTF","2022-12-15 13:11:26.002","ALeRCE","","2022TNSTR3584....1M","2022TNSCR3634....1F",""
"121859","SN 2022acze","13:20:47.182","+08:01:56.52","SN Ia","0.08","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS22bnuo","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","P60 - SEDM","1","1","","18.634","orange-ATLAS","2022-12-15 14:59:52.224","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3650....1N",""
"121857","SN 2022aczc","12:40:04.025","+61:24:53.32","SN Ia","0.075968","","","ATLAS","ATLAS","ZTF","ATLAS","ATLAS22bnuj","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01","P60 - SEDM","1","1","","18.613","orange-ATLAS","2022-12-14 11:50:43.584","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3607....1F",""
"121849","SN 2022acyu","11:14:26.472","-07:15:55.67","SN Ia","0.047257043421268","","","ATLAS, ZTF","ATLAS, ZTF","ZTF","ATLAS; ZTF","ATLAS22bntu","ATLAS-HKO - ATLAS-02, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.134","orange-ATLAS","2022-12-15 12:50:42.144","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3627....1F",""
"121846","SN 2022acyr","05:39:53.987","+71:40:12.16","SN Ia","0.082","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF22abynpmq","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.17","r-ZTF","2022-12-10 08:31:12.000","ZTF_Bot1","","2022TNSTR3590....1F","2022TNSCR3607....1F",""
"121845","SN 2022acyq","15:32:41.798","+46:11:25.32","SN Ia","0.034","","","ZTF, ATLAS","ZTF, ATLAS","None","ATLAS; ZTF","ZTF22abyuxlw","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","Other - Other","1","1","","17.38","r-ZTF","2022-12-15 12:08:38.400","ZTF_Bot1","","2022TNSTR3590....1F","2022TNSCR3672....1B",""
"121838","SN 2022acyj","07:44:36.396","-48:04:17.10","SN Ia","0.06","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bntp","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","17.92","orange-ATLAS","2022-12-15 05:21:00.288","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3654....1G",""
"121837","SN 2022acyi","01:15:14.005","+06:49:17.38","SN Ia","0.03","","","ATLAS, ALeRCE, Fink, Pan-STARRS","ATLAS, ZTF, Pan-STARRS","ZTF","ALeRCE; ATLAS; Fink; Pan-STARRS","ATLAS22bntm","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS2 - GPC2","LT - SPRAT","1","1","","19.341","cyan-ATLAS","2022-12-15 07:16:45.984","ATLAS_Bot1","","2022TNSTR3586....1T","2023TNSCR..30....1H",""
"121831","SN 2022acyc","03:02:41.778","-74:16:25.32","SN Ia","0.058","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS22bnsz","ATLAS-CHL - ATLAS-04","ESO-NTT - EFOSC2-NTT","1","1","","18.267","cyan-ATLAS","2022-12-15 02:56:30.912","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3690....1G",""
"121807","SN 2022acxe","22:18:48.261","-03:29:21.11","SN Ia","0.016575","","","ATLAS, ALeRCE, MASTER","ATLAS, ZTF, MASTER","None","ALeRCE; ATLAS; MASTER","ATLAS22bnrh","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, Other - Other, P48 - ZTF-Cam","Other - Other","1","1","","18.193","cyan-ATLAS","2022-12-15 05:07:40.224","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3611....1B",""
"121802","SN 2022acwz","00:27:10.089","+51:03:57.97","SN Ia","0.041","","","ZTF, Fink, ATLAS","ZTF, ATLAS","ZTF","ATLAS; Fink; ZTF","ZTF22abyrovo","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.68","g-ZTF","2022-12-15 03:25:55.200","ZTF_Bot1","","2022TNSTR3590....1F","2022TNSCR3622....1F",""
"121795","SN 2022acws","05:06:53.525","-05:19:00.03","SN Ia","0.0725","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS22bnra","ATLAS-CHL - ATLAS-04, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","17.841","orange-ATLAS","2022-12-14 04:59:24.288","ATLAS_Bot1","","2022TNSTR3586....1T","2022TNSCR3683....1P",""
"121789","SN 2022acwm","07:01:28.214","+20:36:20.60","SN Ia","0.066","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS","ATLAS22bnqg","ATLAS-HKO - ATLAS-02, PS2 - GPC2","P60 - SEDM","1","1","","18.358","orange-ATLAS","2022-12-13 12:08:14.208","ATLAS_Bot1","","2022TNSTR3578....1T","2022TNSCR3607....1F",""
"121788","SN 2022acwl","02:02:54.045","+31:36:50.60","SN Ia","0.072","","","ATLAS, ALeRCE, Fink","ATLAS, ZTF","ZTF","ALeRCE; ATLAS; Fink","ATLAS22bnqd","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.143","orange-ATLAS","2022-12-13 08:25:30.720","ATLAS_Bot1","","2022TNSTR3578....1T","2022TNSCR3622....1F",""
"121786","SN 2022acwj","09:14:24.341","-33:20:14.80","SN Ia","0.016","","","ATLAS","ATLAS","POISE","ATLAS","ATLAS22bnqa","ATLAS-CHL - ATLAS-04","Magellan-Baade - IMACS","1","1","","18.538","orange-ATLAS","2022-12-13 07:01:22.368","ATLAS_Bot1","","2022TNSTR3578....1T","2022TNSCR3591....1P",""
"121782","SN 2022acwf","02:53:12.860","-13:30:01.06","SN Ia","0.095","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abymzuk","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.35","g-ZTF","2022-12-09 05:02:24.000","ZTF_Bot1","","2022TNSTR3580....1F","2022TNSCR3593....1F",""
"121735","SN 2022acuk","22:32:24.132","+31:00:48.73","SN Ia","0.061","","","ZTF, Fink","ZTF","ZTF","Fink; ZTF","ZTF22abyhvtk","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.71","r-ZTF","2022-12-09 03:17:16.800","ZTF_Bot1","","2022TNSTR3570....1F","2022TNSCR3622....1F",""
"121733","SN 2022acui","01:47:14.995","-04:12:38.56","SN Ia","0.06","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abylryw","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.95","g-ZTF","2022-12-09 05:12:28.800","ZTF_Bot1","","2022TNSTR3570....1F","2022TNSCR3622....1F",""
"121732","SN 2022acuh","01:40:30.820","-01:52:29.32","SN Ia","0.065","","","ZTF, ATLAS, Fink, GaiaAlerts","ZTF, ATLAS, GaiaAlerts","ZTF","ATLAS; Fink; GaiaAlerts; ZTF","ZTF22abyiqfa","ATLAS-CHL - ATLAS-04, Gaia - Gaia-photometric, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.81","g-ZTF","2022-12-09 03:36:00.000","ZTF_Bot1","","2022TNSTR3570....1F","2022TNSCR3622....1F",""
"121726","SN 2022acub","09:27:30.256","+09:40:55.03","SN Ia-91T-like","0.08","","","ZTF, ATLAS, Fink","ZTF, ATLAS","ePESSTO+","ATLAS; Fink; ZTF","ZTF22abynlvk","ATLAS-CHL - ATLAS-04, ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","18.83","r-ZTF","2022-12-10 08:41:16.800","ZTF_Bot1","","2022TNSTR3570....1F","2022TNSCR3647....1G",""
"121718","SN 2022actt","08:45:45.071","+49:08:37.59","SN Ia","0.024","","","ZTF, ATLAS","ZTF, ATLAS","ZTF","ATLAS; ZTF","ZTF22abyjfgt","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","P60 - SEDM","1","1","","17.52","r-ZTF","2022-12-10 08:12:28.800","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3593....1F",""
"121712","SN 2022actn","14:40:24.919","+58:02:39.79","SN Ia","0.071","","","ZTF, Fink","ZTF","ZTF","Fink; ZTF","ZTF22abyomty","P48 - ZTF-Cam","P60 - SEDM","1","1","","19.21","r-ZTF","2022-12-10 11:47:02.400","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3648....1F",""
"121685","SN 2022acsq","09:34:49.288","-22:27:51.54","SN Ia","0.086","","","ZTF","ZTF","ZTF","ZTF","ZTF22abygqnq","P48 - ZTF-Cam","P60 - SEDM","1","1","","18.94","g-ZTF","2022-12-01 11:31:12.000","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3634....1F",""
"121676","SN 2022acsh","10:37:03.811","+43:38:52.75","SN Ia","0.03","","","ZTF, ATLAS","ZTF, ATLAS","TCD","ATLAS; ZTF","ZTF22abyjtmn","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam","LT - SPRAT","1","1","","17.38","g-ZTF","2022-12-10 10:07:40.800","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3592....1T",""
"121675","SN 2022acsg","09:55:41.317","-27:39:42.05","SN Ia","0.042","","","ZTF","ZTF","ZTF","ZTF","ZTF22abyktmi","P48 - ZTF-Cam","P60 - SEDM","1","1","","17.67","r-ZTF","2022-12-09 11:32:38.400","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3607....1F",""
"121674","SN 2022acsf","03:14:44.998","-16:38:06.04","SN Ia","0.065","","","ZTF, ATLAS, YSE, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; YSE; ZTF","ZTF22abyivov","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, P48 - ZTF-Cam, PS1 - GPC1, PS2 - GPC2","LT - SPRAT","1","1","","19.23","g-ZTF","2022-12-09 05:32:38.400","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3635....1H",""
"121671","SN 2022acsc","07:19:43.759","+55:58:33.78","SN Ia","0.0416299999","","","ZTF, ATLAS, Pan-STARRS","ZTF, ATLAS, Pan-STARRS","ZTF","ATLAS; Pan-STARRS; ZTF","ZTF22abynjkd","ATLAS-HKO - ATLAS-02, P48 - ZTF-Cam, PS1 - GPC1","P60 - SEDM","1","1","","18.21","r-ZTF","2022-12-10 08:21:07.200","ZTF_Bot1","","2022TNSTR3565....1F","2022TNSCR3627....1F",""
"121663","SN 2022acru","03:53:28.027","-10:47:44.82","SN Ia","0.06","","","ATLAS, Pan-STARRS","ATLAS, Pan-STARRS","ePESSTO+","ATLAS; Pan-STARRS","ATLAS22bnoc","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03, PS1 - GPC1","ESO-NTT - EFOSC2-NTT","1","1","","18.643","orange-ATLAS","2022-12-10 04:09:57.312","ATLAS_Bot1","","2022TNSTR3562....1T","2022TNSCR3641....1P",""
"121662","SN 2022acrt","13:18:50.764","+61:53:36.96","SN Ia","0.054","SDSS J131850.67+615334.9","","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abyknqs","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","P60 - SEDM","1","1","","19.0355","r-ZTF","2022-12-09 10:49:46.998","ALeRCE","","2022TNSTR3561....1F","2022TNSCR3648....1F",""
"121659","SN 2022acrq","05:47:34.689","-25:32:46.07","SN Ia","0.042716","6dFGS gJ054734.7-253245","0.04323","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abyngnw","ATLAS-STH - ATLAS-03, P48 - ZTF-Cam","LT - SPRAT","1","1","","17.9969","r-ZTF","2022-12-10 08:03:50.003","ALeRCE","","2022TNSTR3561....1F","2022TNSCR3635....1H",""
"121657","SN 2022acro","10:35:49.630","+12:12:10.02","SN Ia","0.037069","SDSS J103549.91+121212.7","0.03706918","ALeRCE, ATLAS","ZTF, ATLAS","ZTF","ALeRCE; ATLAS","ZTF22abynxyi","ATLAS-CHL - ATLAS-04, P48 - ZTF-Cam","P60 - SEDM","1","1","","18.0402","g-ZTF","2022-12-10 10:27:27.996","ALeRCE","","2022TNSTR3561....1F","2022TNSCR3643....1F",""
"121653","SN 2022acrk","11:33:40.285","+22:23:13.36","SN Ia","0.0496417991817","SDSS J113340.10+222318.5","0.04940752","ALeRCE","ZTF","ZTF","ALeRCE","ZTF22abyohxs","P48 - ZTF-Cam","P60 - SEDM","1","1","","17.8832","r-ZTF","2022-12-10 11:56:40.001","ALeRCE","","2022TNSTR3561....1F","2022TNSCR3623....1S",""
